Athlete Name,Contingent,Home Town,Type Name,Sports Name
Stephanie Clarkson,Manitoba,Winnipeg,Athlete,Gymnastics
Parker Clements,Nova Scotia,Dartmouth,Athlete,Figure Skating
Daphné Cloutier,Northwest Territories,"Saint-Jérôme, Québec",Athlete,Speed Skating
Erica Cluff,New Brunswick,Woodstock,Athlete,Curling
Jamie Cluff,Northwest Territories,,Athlete,Hockey
Nathan Cluff,Northwest Territories,,Athlete,Squash
Jillian Hilary Coates,Newfoundland and Labrador,Clarenville,Athlete,Cross Country Skiing
Paul Coderre,Alberta,Calgary,Athlete,Speed Skating
Jamie Cole,Alberta,Camrose,Athlete,Wheelchair Basketball
Monica Ozita Collette,New Brunswick,Dieppe NB,Athlete,Ringette
Dylan Collier,Newfoundland and Labrador,St.Albans Newfoundland,Athlete,Badminton
Tylor Collin,New Brunswick,Edmundston,Athlete,Judo
Lucas Comeau,Alberta,"Calgary, Alberta",Athlete,Snowboard
Nicholas Andre Comeau,Nova Scotia,"Hatchet Lake, NS",Athlete,Speed Skating
Joshua Comfort,Saskatchewan,Saskatoon,Athlete,Speed Skating
Jenna Condra,Prince Edward Island,Summerside,Athlete,Judo
Ryan Conklin-Bric,Ontario,Toronto,Athlete,Judo
Kyle Wayne Connell,Prince Edward Island,Sherwood,Athlete,Speed Skating
Zach Connelly,Ontario,Orleans,Athlete,Biathlon
Jack Connors,Newfoundland and Labrador,Conception Bay South,Athlete,Hockey
Julia Cook,New Brunswick,Hillsborough,Athlete,Squash
Sappa Cookie,Nunavut,Sanikiluaq,Athlete,Badminton
Connor Cooper,Yukon,whitehorse,Athlete,Hockey
Davis Ross Cooper,Nova Scotia,Hammonds Plains,Athlete,Hockey
Kendall Cooper,Ontario,Burlington,Athlete,Hockey
Shae Corasiniti,Alberta,Calgary,Athlete,Ringette
Kate Cordeau,Nova Scotia,"Dartmouth, NS",Athlete,Artistic Swimming
Sam Cordell,British Columbia,Vancouver,Athlete,Freestyle Skiing
Alex Cordero,Northwest Territories,"Yellowknife, NT",Athlete,Hockey
Anthony Cormier Losier,New Brunswick,Saint-Léolin,Athlete,Speed Skating
Akira Cormier,Manitoba,Winnipeg,Athlete,Gymnastics
Alex Cormier,New Brunswick,"Dieppe, NB",Athlete,Hockey
Ashley Cormier,New Brunswick,Saint John,Athlete,Curling
Catriona Cormier,New Brunswick,Dieppe,Athlete,Hockey
Dominique Cormier,New Brunswick,Ste-Mariie-de-Kent,Athlete,Hockey
Abby Corney,Saskatchewan,Emerald Park,Athlete,Ringette
Hannah Corney,Saskatchewan,Emerald Park,Athlete,Ringette
Megan Katherine Costain,New Brunswick,Quispamsis,Athlete,Biathlon
Devon Costello,Prince Edward Island,Charlottetown,Athlete,Ringette
Quaid Costello,Prince Edward Island,North Granville,Athlete,Snowboard
Benjamin Côté,Alberta,Sherwood Park,Athlete,Speed Skating
Emmanuelle Côté,Quebec,Chicoutimi,Athlete,Speed Skating
Felix Cote,New Brunswick,Linclon,Athlete,Biathlon
Gabrielle Côté,New Brunswick,Saint-Louis-de-Kent,Athlete,Cross Country Skiing
Jacob Côté,Nova Scotia,"Dartmouth, Nova Scotia",Athlete,Figure Skating
JOSIE COTE,Nunavut,"Iqaluit, Nunavut",Athlete,Hockey
Laura Cote,Ontario,Burlington,Athlete,Hockey
Bailey D Coulter,Saskatchewan,Warman,Athlete,Alpine Skiing
Jacqueline Coutts,Alberta,Calgary,Athlete,Figure Skating
Vanessa Marie Coutu,Saskatchewan,Saskatoon,Athlete,Speed Skating
Émile Couture,Quebec,Boucherville,Athlete,Figure Skating
Cole Cowan,Yukon,Whitehorse,Athlete,Hockey
Taylor Coward,Manitoba,Winnipeg,Athlete,Hockey
Aaron Cox,Alberta,,Athlete,Archery
Logan Cox,Saskatchewan,Prince Albert,Athlete,Hockey
Hannah Coyne,Alberta,"Calgary, AB",Athlete,Ringette
Karly Coyne,Alberta,Canmore,Athlete,Biathlon
Connor Shawn Cozens,Yukon,Whitehorse,Athlete,Hockey
Grace Dianne Craig,Saskatchewan,Regina,Athlete,Cross Country Skiing
Hayleigh Craig,Alberta,Lethbridge,Athlete,Hockey
Dawson Crane,Newfoundland and Labrador,Bay Roberts,Athlete,Hockey
Trent Crane,Manitoba,Winkler/Morden,Athlete,Hockey
Jessica Lynn Cranton,Nova Scotia,"Annapolis Royal, Nova Scotia",Athlete,Figure Skating
Lucas Craston,Ontario,Ottawa,Athlete,Boxing
John Crawford,New Brunswick,Quispamsis,Athlete,Speed Skating
Keegan Crawford,Prince Edward Island,"Covehead, PE",Athlete,Archery
Amanda Creith,Manitoba,Manitou,Athlete,Alpine Skiing
Jordyn Crerar,Manitoba,EAST ST PAUL,Athlete,Gymnastics
Megan Cressey,Alberta,Sylvan Lake,Athlete,Freestyle Skiing
Bella Croisier,Ontario,Sudbury,Athlete,Curling
Piper Croisier,Ontario,Sudbury,Athlete,Curling
Maggie Crompton,British Columbia,Whistler,Athlete,Snowboard
Kyron Crosby,Yukon,Whitehorse yukon,Athlete,Hockey
Alyssa Cross,Nova Scotia,"Bedford, NS",Athlete,Figure Skating
Sidney Aren-Lee Crowe,British Columbia,Maple Ridge,Athlete,Ringette
Chloe Dawn Cudmore,Prince Edward Island,Charlottetown,Athlete,Gymnastics
Macy Cudmore,Prince Edward Island,Charlottetown,Athlete,Alpine Skiing
Makena Stephanie Cudmore,Prince Edward Island,Charlottetown,Athlete,Alpine Skiing
Julia Culig,Alberta,Calgary,Athlete,Alpine Skiing
Hugo Culver,Quebec,Westmount,Athlete,Alpine Skiing
Emilie Cunial,Quebec,Ottawa,Athlete,Ringette
Logan Cunningham,Northwest Territories,Yellowknife,Athlete,Hockey
Noah Cunningham,Manitoba,"Winnipeg, Manitoba",Athlete,Alpine Skiing
Breanna Helen Marion Curren,Nova Scotia,Hammonds Plains,Athlete,Ringette
Carolyn Currie,Manitoba,Winnipeg,Athlete,Artistic Swimming
Cassidy Currie,Nova Scotia,Lower Sackville,Athlete,Curling
Emma Curtis,Yukon,Whitehorse,Athlete,Hockey
Natalie Cuvelier,Manitoba,,Athlete,Alpine Skiing
Olivia Cvar,Manitoba,"Gimli, Mb",Athlete,Hockey
Antoine Cyr,Quebec,Gatineau,Athlete,Cross Country Skiing
Helaina Cyr,Alberta,sherwood park,Athlete,Wheelchair Basketball
Marc Cyr,New Brunswick,Edmundston,Athlete,Wheelchair Basketball
Jaime Czarkowski,Alberta,Calgary,Athlete,Artistic Swimming
Emily Czerwinski,New Brunswick,Nasonworth,Athlete,Biathlon
Emily Czosnek,Manitoba,Winnipeg,Athlete,Judo
Tye Dacey,Nova Scotia,Halifax,Athlete,Figure Skating
Colton Dach,Alberta,Fort Saskatchewan,Athlete,Hockey
Sydney Dagenais,Ontario,Timmins Ontario,Athlete,Ringette
Max Dallaire,New Brunswick,Moncton NB,Athlete,Gymnastics
Shannon Emily Dallaire,Saskatchewan,Saskatoon,Athlete,Speed Skating
Maia Dalling,Manitoba,,Athlete,Alpine Skiing
Rajan Dalrymple,New Brunswick,Oromocto,Athlete,Curling
Hayley Dalton,Newfoundland and Labrador,Conception Bay South,Athlete,Figure Skating
William Dandjinou,Quebec,Sherbrooke,Athlete,Speed Skating
Alexis Daniel,New Brunswick,Dieppe NB,Athlete,Hockey
Klavdia Danilkov,British Columbia,Vancouver,Athlete,Judo
Lily Danis,Manitoba,Winnipeg,Athlete,Artistic Swimming
Magalie Daoust,Quebec,Gatineau,Athlete,Cross Country Skiing
Davis Michael Dauphinee,Nova Scotia,"Carrolls Corner, Nova Scotia",Athlete,Table Tennis
Gabrielle Davidson Adams,Ontario,"Cornwall, Ontario",Athlete,Hockey
Megan Marie Davidson,New Brunswick,Moncton,Athlete,Artistic Swimming
Joe Davies,British Columbia,Pemberton,Athlete,Cross Country Skiing
Thomas Davies,Nova Scotia,Halifax,Athlete,Freestyle Skiing
Cameron Davis,Prince Edward Island,Charlottetown,Athlete,Gymnastics
Ian Davis,Newfoundland and Labrador,Corner Brook,Athlete,Alpine Skiing
Rachel Davis,Newfoundland and Labrador,Corner Brook,Athlete,Alpine Skiing
Kelly Davison,Saskatchewan,Saskatoon,Athlete,Ringette
Ethan Davy,Yukon,"Whitehorse, Yukon",Athlete,Snowboard
Jaden Dawson,British Columbia,North Vancouver,Athlete,Alpine Skiing
Sawyer Day,Saskatchewan,Battleford,Athlete,Freestyle Skiing
Reed De'Aeth,Alberta,Sherwood Park,Athlete,Wheelchair Basketball
Kaylee Dean,Manitoba,Winnipeg,Athlete,Biathlon
Rachel Dean,Newfoundland and Labrador,Clarenville,Athlete,Hockey
Zach Dean,Newfoundland and Labrador,Mount Pearl,Athlete,Hockey
Adam Deane,British Columbia,North Delta,Athlete,Archery
Miranda Tracy Marie Dedam,New Brunswick,Miramichi NB,Athlete,Figure Skating
Désirée Defour,Quebec,Pointe-Claire,Athlete,Squash
Thalie Degrace,New Brunswick,Dieppe,Athlete,Ringette
Paige Deighan,Prince Edward Island,Wilmot Valley,Athlete,Hockey
Kayci Deitsch,Alberta,Calgary,Athlete,Snowboard
Daniel Del Conte,Ontario,"Stoney Creek, Ontario",Athlete,Curling
Ethan Del Mastro,Ontario,Freelton,Athlete,Hockey
Florence Delsame,Quebec,Prévost,Athlete,Freestyle Skiing
Joel Demaere,Alberta,,Athlete,Judo
Nathan Demaere,Alberta,Lethbridge,Athlete,Judo
Keenan Demchuk,Manitoba,Winnipeg,Athlete,Snowboard
Layla Demerah,Nunavut,"Kugluktuk, NU",Athlete,Table Tennis
Mackenzie May Demerah,Nunavut,Kugluktuk Nunavut,Athlete,Table Tennis
Mélissa Demers,Quebec,Gatineau,Athlete,Ringette
Zachary Demers,Quebec,Victoriaville,Athlete,Biathlon
Naoise Dempsey,Yukon,Whitehorse Yukon,Athlete,Alpine Skiing
Liam Dempster,Nova Scotia,Hammonds Plains,Athlete,Boxing
Harrison Deng,Manitoba,,Athlete,Table Tennis
Michelle Deng,Alberta,"Edmonton, Alberta",Athlete,Figure Skating
Sarah Dennehy,Manitoba,Winnipeg,Athlete,Hockey
Teagan Denney,Alberta,Calgary,Athlete,Alpine Skiing
Erin Denny,Nova Scotia,"Eskasoni, NS",Athlete,Hockey
Vincent d'Entremont,Nova Scotia,"Hebbville, NS",Athlete,Gymnastics
Scott Denyes,Nova Scotia,Beaver Bank,Athlete,Figure Skating
Devika DeRaj,Manitoba,Winnipeg,Athlete,Badminton
Mohyna DeRaj,Manitoba,Winnipeg,Athlete,Squash
Caidence Derenisky,Saskatchewan,Regina,Athlete,Figure Skating
Valérie Déry,New Brunswick,"Bouctouche, NB",Athlete,Figure Skating
Véronique Déry,Quebec,Lévis,Athlete,Speed Skating
Rose Desjardins,Quebec,Saint-Sauveur,Athlete,Snowboard
Gabrielle Deslauriers,Quebec,Blainville,Athlete,Gymnastics
Jonathan Desrosiers,New Brunswick,Dieppe NB,Athlete,Hockey
Derek Bond Deuling,Yukon,,Athlete,Cross Country Skiing
Hannah Deuling,Yukon,,Athlete,Cross Country Skiing
Marcus Deuling,Yukon,,Athlete,Cross Country Skiing
Kayla Deveau,Nova Scotia,"Clare, NS",Athlete,Figure Skating
Tristan Deveau,Alberta,Yarmouth Nova Scotia,Athlete,Boxing
Dylan Deverill,Ontario,"Cambridge, Ontario",Athlete,Squash
Christina Devine,Prince Edward Island,,Athlete,Ringette
Olivia Devine,Prince Edward Island,,Athlete,Ringette
Emmet Dewar,Manitoba,East St. Paul,Athlete,Figure Skating
Ojas Dhokia,Alberta,Calgary,Athlete,Alpine Skiing
MacLaren Dick,New Brunswick,Saint John,Athlete,Hockey
Jack Dickie,New Brunswick,Rothesay,Athlete,Hockey
Alexis DiDomizio,Ontario,Brantford,Athlete,Gymnastics
Jeannette Ding,Manitoba,Winnipeg,Athlete,Badminton
Nicole Dion,Nova Scotia,Halifax,Athlete,Artistic Swimming
Denika Diotte,New Brunswick,Riverview,Athlete,Ringette
Mikael Diotte,Quebec,Ste-Julie,Athlete,Hockey
Lance Dizon,Northwest Territories,Yellowknife,Athlete,Speed Skating
Dorian Doan,Ontario,Mississauga,Athlete,Gymnastics
Gavin Dodd,British Columbia,"Kamloops, BC",Athlete,Gymnastics
Bailey Doerfler,Ontario,Barrie,Athlete,Judo
Grace Doherty,New Brunswick,"Fredericton, NB",Athlete,Artistic Swimming
Félix Dolci,Quebec,Laval,Athlete,Gymnastics
Anna Dolgova,Saskatchewan,,Athlete,Artistic Swimming
Bradon Doll,Alberta,Camrose,Athlete,Wheelchair Basketball
Jayna Doll,Alberta,Camrose,Athlete,Wheelchair Basketball
Robert Doman,Ontario,Oakville,Athlete,Alpine Skiing
Joshua Albert Donais,Saskatchewan,Balgonie,Athlete,Curling
Jenna Dooley,Newfoundland and Labrador,Grand Falls-Windsor,Athlete,Hockey
Jayme Dorsett,Manitoba,winnipeg,Athlete,Ringette
David Francis Doucet,New Brunswick,Baie-Sainte-Anne,Athlete,Hockey
Katie Douglas,Prince Edward Island,"Charlottetown, PEI",Athlete,Alpine Skiing
Libby Douglas,Prince Edward Island,Charlottetown,Athlete,Alpine Skiing
Davis Dow,Saskatchewan,Lloydminster,Athlete,Freestyle Skiing
John Dow,New Brunswick,Richmond Corner,Athlete,Archery
Brett Down,Saskatchewan,Regina,Athlete,Biathlon
Marc-André Doyon,Saskatchewan,Moose Jaw,Athlete,Speed Skating
David Dragon,Northwest Territories,Yellowknife,Athlete,Table Tennis
Jake Ronald Draper,Yukon,"Whitehorse, Yukon",Athlete,Biathlon
Kass Dreyer,Yukon,Whitehorse,Athlete,Table Tennis
Jasmine Drolet,British Columbia,Rossland,Athlete,Cross Country Skiing
Rémi Drolet,British Columbia,"Rossland, British Columbia",Athlete,Cross Country Skiing
Jason Drost,Nova Scotia,Hammond Plains,Athlete,Wheelchair Basketball
Lindsey Drover,Prince Edward Island,Suffolk,Athlete,Squash
Michael James Drover,Newfoundland and Labrador,St. John's,Athlete,Gymnastics
Marie-Ève Dubé,Quebec,St-Eustache,Athlete,Ringette
Wayne Ducharme,Saskatchewan,,Athlete,Boxing
Meghane Duchesne Chalifoux,Quebec,"Hengyang, Chine",Athlete,Hockey
Chloé Duchesne,New Brunswick,"Valley-Field, Qc.",Athlete,Cross Country Skiing
Justin Dueck,Saskatchewan,Waldeck,Athlete,Hockey
Mathieu Dufresne,Quebec,Laval,Athlete,Freestyle Skiing
Jillian Duggan,Nova Scotia,Spryfield,Athlete,Hockey
Amélie Duguay,New Brunswick,Moncton,Athlete,Ringette
Annika Duguay,Manitoba,"Carberry, Manitoba",Athlete,Figure Skating
Anthony Duhamel,Northwest Territories,Québec,Athlete,Hockey
Kennedy Duke,British Columbia,Surrey,Athlete,Gymnastics
Camille Dumont,Quebec,"Cobourg, Ontario",Athlete,Ringette
Keelie Duncan,British Columbia,"Comox, BC",Athlete,Curling
Lydia Duncan,Ontario,"Mitchell, ON",Athlete,Ringette
Hana Dunlop,Manitoba,Winnipeg,Athlete,Alpine Skiing
Malcolm Dunphy,New Brunswick,Rothesay,Athlete,Alpine Skiing
Danielle Caroline DuPlessis,New Brunswick,"Fredericton, NB",Athlete,Wheelchair Basketball
Yanic Duplessis,New Brunswick,ST-ANTOINE,Athlete,Hockey
Alexane Dupuis,New Brunswick,Dieppe,Athlete,Ringette
Sara-Maude Dupuis,Quebec,Montréal,Athlete,Figure Skating
Landon Duquette,Nova Scotia,Middle Sackville,Athlete,Gymnastics
Jana Dweek,Alberta,"Alexandria, Egypt",Athlete,Squash
Cooper Allan Dwyer,Nova Scotia,"Hubley , NS",Athlete,Freestyle Skiing
Kai Dwyer,Nova Scotia,Fall River,Athlete,Gymnastics
Kendi Dyck,Manitoba,Winnipeg,Athlete,Artistic Swimming
William Dyke,Newfoundland and Labrador,St. John's,Athlete,Hockey
Kat Eamon,Alberta,Calgary,Athlete,Ringette
Dakota Earle,Northwest Territories,Yellowknife,Athlete,Hockey
Benjamin Eaton,Nova Scotia,,Athlete,Speed Skating
Raine Eberl,Saskatchewan,Moose jaw,Athlete,Figure Skating
Evan Edwards,New Brunswick,"Moncton, New Brunswick",Athlete,Gymnastics
India Edwards,Northwest Territories,Yellowknife,Athlete,Squash
Ryan Eegeesiak-MacIntosh,Nunavut,Iqaluit,Athlete,Hockey
Jesse Ehman,Saskatchewan,Saskatoon,Athlete,Cross Country Skiing
Cheyenne Ehnes,Manitoba,Manitou,Athlete,Curling
Justin Ekosky,Manitoba,selkirk,Athlete,Judo
Sarah Ekosky,Manitoba,,Athlete,Judo
Dania El Sammak,Ontario,Oakville,Athlete,Speed Skating
Ryan Elden,British Columbia,Quesnel,Athlete,Biathlon
Lexi Elder,Saskatchewan,"Unity, Saskatchewan",Athlete,Alpine Skiing
Seif Elfiky,Alberta,Calgary,Athlete,Squash
Yohnatan Elizarov,Manitoba,Winnipeg,Athlete,Figure Skating
Wilson Elliot,Northwest Territories,Yellowknife,Athlete,Judo
Carmen Sydney Elliott,Newfoundland and Labrador,Stephenville,Athlete,Hockey
Drew Elliott,New Brunswick,Musquash,Athlete,Hockey
Elizabeth Elliott,British Columbia,Revelstoke,Athlete,Cross Country Skiing
Jailyn Elliott,Nova Scotia,,Athlete,Figure Skating
Julia Ellis,Ontario,Oakville,Athlete,Freestyle Skiing
Liam Ellis,Prince Edward Island,Hunter River,Athlete,Biathlon
Magnus Ellis,Manitoba,Canmore AB,Athlete,Speed Skating
Sydney Embro,Ontario,Waterloo,Athlete,Figure Skating
Adrianna Emond,Quebec,Saguenay,Athlete,Biathlon
Nataly Eng,Saskatchewan,Regina,Athlete,Badminton
Loren Enman,Prince Edward Island,Miscouche,Athlete,Judo
Lydia Enman,Prince Edward Island,Miscouche,Athlete,Judo
Camille Enns,Manitoba,"Linden, Manitoba",Athlete,Hockey
Marissa Enns,Ontario,"Etobicoke, Ontario",Athlete,Artistic Swimming
Isaac Enright,Ontario,Cobden,Athlete,Hockey
Alex Erith-Ellwood,Nova Scotia,Middle Musquodoboit,Athlete,Alpine Skiing
Wyatt Ernst,Saskatchewan,Rosetown,Athlete,Snowboard
Vanessa Estephan,Alberta,Edmonton,Athlete,Archery
Bethany Victoria Etsell,Nova Scotia,Halifax,Athlete,Ringette
Olivia Eustace,New Brunswick,"RIVERVIEW, NEW BRUNSWICK",Athlete,Hockey
Stephanie Evans,Newfoundland and Labrador,St. John's,Athlete,Wheelchair Basketball
Gleb Evstigneev,Newfoundland and Labrador,Paradise NL,Athlete,Gymnastics
Joel Ewert,British Columbia,Prince George,Athlete,Wheelchair Basketball
Jordyn Ewing,Nova Scotia,Hammonds Plains,Athlete,Gymnastics
Jaden Ezzard,Yukon,Dawson City,Athlete,Hockey
Montana Fairbairn,Alberta,Strathmore,Athlete,Gymnastics
Manuel Falardeau,Quebec,Montréal,Athlete,Speed Skating
Lucy Fan,Saskatchewan,,Athlete,Table Tennis
Gabriel Farand,Quebec,Granby,Athlete,Figure Skating
Evan Fedder,British Columbia,Vancouver,Athlete,Gymnastics
Alexa Feifer,New Brunswick,Moncton,Athlete,Gymnastics
Stanley Feng,Ontario,Richmond Hill,Athlete,Badminton
Lauren Ferguson,Prince Edward Island,Kensington,Athlete,Curling
Barrett Ferguson-Losier,Nova Scotia,"Dartmouth, Nova Scotia, Canada",Athlete,Speed Skating
Ryley Fergusson,Alberta,Edmonton,Athlete,Alpine Skiing
Ashton Ferster,Saskatchewan,Shellbrook,Athlete,Hockey
Joelle Fiala,Saskatchewan,Clavet,Athlete,Hockey
Finn Finestone,British Columbia,Whistler,Athlete,Snowboard
Paul Finkbeiner,British Columbia,Vancouver,Athlete,Cross Country Skiing
Scarlett Finn,Ontario,Toronto,Athlete,Artistic Swimming
Nikki Finoro,Ontario,Collingwood,Athlete,Alpine Skiing
Adam Fiselier,Alberta,Calgary,Athlete,Freestyle Skiing
Maya Fish,Alberta,Canmore,Athlete,Cross Country Skiing
Madi Fisher,Prince Edward Island,Stratford,Athlete,Ringette
Cate Fitzgerald,Nova Scotia,,Athlete,Curling
Kate Fitzgerald,Newfoundland and Labrador,"Conception Bay South, NL",Athlete,Artistic Swimming
Reed Fitzgerald,Saskatchewan,Rosthern Saskatchewan,Athlete,Squash
Caelan Flannigan,Ontario,Haileybury,Athlete,Cross Country Skiing
Adam Flatt,Manitoba,Winnipeg,Athlete,Curling
Sean Flatt,Manitoba,Winnipeg,Athlete,Curling
Sarah Fleming,Northwest Territories,YELLOWKNIFE,Athlete,Hockey
Keala Fleury,Saskatchewan,,Athlete,Ringette
Maya Fleury,Saskatchewan,,Athlete,Ringette
Michael Flynn,Newfoundland and Labrador,"Rothesay, New Brunswick",Athlete,Alpine Skiing
Sophie Flynn,Prince Edward Island,Emyvale,Athlete,Hockey
Bianca Fodor,Quebec,,Athlete,Hockey
Sam Follett,Newfoundland and Labrador,"Paradise, NL",Athlete,Curling
Melissa Jean Fong,New Brunswick,Rothesay NB,Athlete,Figure Skating
Tessa Foote,Ontario,Toronto,Athlete,Alpine Skiing
Hayden Ford,Prince Edward Island,Warren Grove,Athlete,Badminton
Piper Fordham,Yukon,Whitehorse,Athlete,Hockey
Arianne Forget,Quebec,Saint-Jérôme,Athlete,Alpine Skiing
Aurelle Fortin,New Brunswick,moncton,Athlete,Figure Skating
Mégane Fortin,Quebec,Laval,Athlete,Ringette
Cole Foston,Nova Scotia,Beaver Bank Nova Scotia,Athlete,Hockey
Catherine Foulem,New Brunswick,"Dieppe, NB",Athlete,Hockey
Jamie Fournier,Quebec,Montreal,Athlete,Figure Skating
Emma Fox,Ontario,Waterdown,Athlete,Artistic Swimming
Asa France,Manitoba,warren,Athlete,Freestyle Skiing
Cole Fraser,Nova Scotia,"Bedford, Nova Scotia",Athlete,Alpine Skiing
Cole Warren Fraser,New Brunswick,RIVERVIEW,Athlete,Hockey
Deanna Fraser,Nova Scotia,Enfield,Athlete,Hockey
Georgia Fraser,Prince Edward Island,Souris,Athlete,Ringette
Matt Fraser,Nova Scotia,"Antigonish, NS",Athlete,Boxing
Natalie Freake,Newfoundland and Labrador,Gander,Athlete,Judo
Spencer Freeze,Prince Edward Island,Charlottetown,Athlete,Archery
Rachel Freitag,Ontario,Ottawa,Athlete,Speed Skating
Michael John Frew,British Columbia,Abbotsford,Athlete,Gymnastics
Luke Fricker,Alberta,Canmore,Athlete,Cross Country Skiing
Alison Friebel,Ontario,"Collingwood, Ontario",Athlete,Snowboard
Jordyn Friedt,Saskatchewan,Saskatoon,Athlete,Artistic Swimming
Jared Friesen,Manitoba,Miami MB,Athlete,Alpine Skiing
Kali Ann Friesen,Saskatchewan,Regina,Athlete,Speed Skating
Karly Friesen,Manitoba,Miami,Athlete,Alpine Skiing
Jake Fudge,New Brunswick,,Athlete,Wheelchair Basketball
Kea Furniss,Northwest Territories,"Yellowknife, NT",Athlete,Cross Country Skiing
Kaitlyn Fynn,Alberta,,Athlete,Alpine Skiing
Anne Gagné,Quebec,Lac-Etchemin,Athlete,Snowboard
Jacob Gagnon,Quebec,Québec,Athlete,Archery
Nicholas Gagnon,Alberta,Sturgeon County,Athlete,Judo
Antoine Gagnon-Lamarche,Quebec,Saint-Augustin-de-Desmaures,Athlete,Speed Skating
Louis Gagnon-Rousseau,Quebec,Montréal,Athlete,Alpine Skiing
Madi Gale,Ontario,"Barrie, Ontario",Athlete,Snowboard
Maddy Galeski,Alberta,Calgary,Athlete,Ringette
Andrew Gallant,Nova Scotia,Dartmouth,Athlete,Gymnastics
Marshall Dylan Gallant,Prince Edward Island,"Oleary, PE",Athlete,Hockey
Sam Gallant,Nova Scotia,Kingston NS,Athlete,Squash
Tianna Gallant,Prince Edward Island,Abrams Village,Athlete,Hockey
Jordyn Galloway,Manitoba,Winnipeg,Athlete,Gymnastics
Tyson Scerbo Galloway,British Columbia,Kamloops BC,Athlete,Hockey
Mason Galvao,Ontario,Burlington,Athlete,Boxing
Spencer Gamache,British Columbia,Quesnel,Athlete,Archery
Blake Gambin,Newfoundland and Labrador,Glenburnie,Athlete,Badminton
Taylor Gambin,Newfoundland and Labrador,Glenburnie,Athlete,Badminton
Liam Gamble,Nova Scotia,Dartmouth,Athlete,Snowboard
Elliot Ganas,Manitoba,winnipeg,Athlete,Speed Skating
Jenn Gardiner,British Columbia,Cloverdale,Athlete,Hockey
Korin Gardner,British Columbia,nanaimo,Athlete,Judo
Amber Gargul,Quebec,Beaconsfield,Athlete,Curling
Hannah Gargul,Quebec,Beaconsfield,Athlete,Curling
Ashlyn Garnett,Nova Scotia,"Dartmouth, Nova Scotia",Athlete,Hockey
Ben Garrett,British Columbia,Abbotsford,Athlete,Wheelchair Basketball
Eve Gascon,Quebec,Terrebonne,Athlete,Hockey
James Gatcliffe,Ontario,Toronto,Athlete,Alpine Skiing
Nathan Gaucher,Quebec,,Athlete,Hockey
Arnaud Gaudet,Quebec,Montcalm,Athlete,Snowboard
Hilarie Gaudet,Prince Edward Island,"Summerside, PE",Athlete,Hockey
Madisson Gaudet,New Brunswick,Haute-Aboujagane,Athlete,Ringette
Ben Gaudreau,Ontario,Corbeil,Athlete,Hockey
Erika Gaujacq,Quebec,Saint-Constant,Athlete,Snowboard
Mikaëlle Gauthier,Quebec,Gatineau,Athlete,Artistic Swimming
Sandrine Gauthier,Quebec,Châteauguay,Athlete,Figure Skating
Sophie Gauthier,Quebec,Repentigny,Athlete,Table Tennis
Antoine Gérald Gautreau,New Brunswick,"Rothesay, NB",Athlete,Gymnastics
Thomas Gilles Gautreau,New Brunswick,"Rothesay, NB",Athlete,Gymnastics
Shirine Gauvin,Quebec,Québec (Québec),Athlete,Artistic Swimming
Conor Geekie,Manitoba,Strathclair,Athlete,Hockey
Jay Gegner,Saskatchewan,"Regina, SK",Athlete,Archery
Marie-Ève Gélinas,Quebec,Trois-Rivières,Athlete,Archery
Chloé Gendreau,Quebec,Sherbrooke,Athlete,Hockey
Andie Gendron,Alberta,Calgary,Athlete,Snowboard
Kailey Genge,Newfoundland and Labrador,Anchor Point,Athlete,Hockey
Katie Genge,Northwest Territories,Yellowknife,Athlete,Archery
Jessie Georget,Saskatchewan,Domremy,Athlete,Gymnastics
Raina Gertley,Manitoba,Winnipeg,Athlete,Gymnastics
Brecklin Gervais,Saskatchewan,Kronau,Athlete,Curling
Anthony Gervais-Marcoux,Quebec,Scott,Athlete,Snowboard
Vanessa Giancaterini,Ontario,Woodbridge,Athlete,Wheelchair Basketball
Brendan Giang,British Columbia,Burnaby,Athlete,Figure Skating
Simon Giasson,Manitoba,"Winnipeg, MB",Athlete,Cross Country Skiing
Charlotte Gibson,British Columbia,"Prince George, BC",Athlete,Alpine Skiing
Liv Gibson,Alberta,Calgary,Athlete,Freestyle Skiing
Ty Gibson,British Columbia,"Victoria, BC",Athlete,Hockey
Kadin Giebelhaus,Manitoba,Stonewall,Athlete,Archery
Gabriel Giguere,Quebec,,Athlete,Wheelchair Basketball
Jean-Charles Giguère,Quebec,,Athlete,Wheelchair Basketball
Jessica Jean Gill,Saskatchewan,Prince Albert,Athlete,Cross Country Skiing
Liam Gill,Alberta,Calgary,Athlete,Snowboard
Matt Gill,Saskatchewan,Prince Albert,Athlete,Cross Country Skiing
Kelsey Gillan,Manitoba,Winnipeg,Athlete,Ringette
Matthew Gillard,Northwest Territories,Yellowknife,Athlete,Hockey
Ethan Gillese,Alberta,Edmonton,Athlete,Alpine Skiing
Alexis Gillespie,Manitoba,,Athlete,Gymnastics
Anna Gillies,New Brunswick,"Saint John, NB",Athlete,Badminton
Brandon Gillis,New Brunswick,Kensington,Athlete,Wheelchair Basketball
elsie gillis,Nova Scotia,Halifax,Athlete,Alpine Skiing
Mataya Gillis,Northwest Territories,Inuvik,Athlete,Curling
Pearl Gillis,Northwest Territories,,Athlete,Curling
