,Athlete Name,Athlete Province,Athlete or Coach,Athlete Sport,Athlete Age,Athlete Height,Athlete Weight,Athletes Clubs or Teams,Athletes Coaches Name,Athletes Team Position,Athletes Previous Games,Athletes Previous Games,Athletes Goals,Athletes Personal Best,Athletes Awards,Athletes Role Model,Athletes Media or Social Media Information,Events Participated In,Athletes Number of Gold Medals,Athletes Number of Silver Medals,Athletes Number of Bronze Medals,Athletes Placements
116,Mackenzie Beckett,Ontario,Athlete,Freestyle Skiing,15,160,52,Georgian Peaks Ski Club,Kale Swinwood Sky,Head Freestyle Coach,,,"To do my best, have fun, experience all that the games has to offer, and make friends with skiers from across the country.",Second place at Muskoka Timber Tour,No sport specific ones but graduated grade 8 with honors and school letters.,Kelly Sildaru,Started skiing at the age of 2 and both my parents worked in the ski industry. I always loved skiing little jumps and rollers wherever I could find them on the hill which led me to experimenting in the terrain parks. I got inspired by watching vidoes of Kelly Sildaru.,,0,0,0,0
117,Anthony Bédard,Quebec,Athlete,Hockey,15,173,64,Estacades Midget AAA,Frédéric Lavoie,"Ailier droit, Hockey",,,Remporter la médaille d'or et bien collaborer aux succès de l'équipe,,,Brandon Gallager des Canadiens de Montréal,"Tout petit, vers l'âge de 3 ans, je jouais au hockey sur les patinoires extérieures avec mon frère et mes parents.",,1,0,0,1
118,Kate Lauren Beers,New Brunswick,Athlete,Ringette,19,5'4,125lb,St FX University,Mark Beal,Forward,katiebeersxox,katiebeersxox,My goals for the games are to compete at the best of my abilities and to hopefully medal at the games.,,,My personal role model is my father. Ever since I started playing ringette he has taught me everything there is to know about the game.,I started playing ringette because both my sister and bestfriend played. I found myself watching them play often and wanted to give it a try myself.,,0,0,0,0
119,Jamie Behan,Ontario,Athlete,Snowboard,18,185,70,Steamboat,Thedo Remmelink,,,,"To have fun, meet people and win the competition!","2nd in NorAm, 1st in Provincials - Slalom",Graduated high school this past June and I am enjoying a gap year. Six months is being spent training in blue sky Colorado. They've had a ton of snow this year!,,We had a great coach at our club level who made snowboarding fun.,,0,0,0,0
120,Madison Beishuizen,Ontario,Athlete,Hockey,17,167cm,138,Kitchener-Waterloo Rangers,Chad Campbell,Left-wing,MadiBeishuizen,MadiBeishuizen,To represent Ontario to the best of my ability while being a positive team leader,"Top 3 in PWHL scoring this season, finished top 8 the previous season","Senior Female Athlete of the Year at KDSS, Master in Athletics Achievement Award, Points leader for my team in previous 4 seasons.","Mitch Marner, an underrated player who plays with more heart than the superstars",My older siblings played and I followed in their footprints,,0,0,0,0
121,Gabrielle Bélanger,Yukon,Athlete,Badminton,15,162 cm,58 kg,Whitehorse Badminton Club,,,,,En apprendre plus sur le badminton et peut être s'améliorer.,4 Médailles d'argent dans Les Yukon Championships 2016,,,Les Jeux de La Francophonie Canadienne m'ont donné le goût de continuer dans ce sport.,,0,0,0,0
122,Wackrood Belfort,Quebec,Athlete,Wheelchair Basketball,22,"160.2 CM (5'4"")",57 Kg,CIVA,"Yves déziel (past GOAT), Nicolas Palmer (current GOAT)",2.0,,,"To honorably fulfil the role as a leader to my team, on and off court. And to bring out the absolute best in my teammates and myself.","My career highs
Points. : 10
Rebounds: 7-9
Assists : 20","3x best sportsmanship
2x all Star team","Magic Johnson : he made passing ""cool"", he was an entertainer, everyone had their eyes on him which allowed his teammates to get easy points.A great pass leads to a great bucket band that can lift the overall moral of a team.

Allen Iverson: he thought me that talent is in all shapes and sizes, that if you were raised in the streets, it's far from over. Opportunity knocks on everyone's door.",,,0,0,1,1
123,Brianna Belisle,British Columbia,Athlete,Snowboard,15,167,65,BC snowboard cross team,Meghan Hebert,,,,To beat at least two people and try my hardest.,When I got 1st,,My Aunties,My dad got me into snowbaording because he loved it so much.,,0,0,0,0
124,Rose Béliveau,Quebec,Athlete,Wheelchair Basketball,20,155,45,,,,,,,,,,,,0,0,1,1
125,Tristan wiltshire Bell,Quebec,Athlete,Snowboard,16,170,68,,niko desmarais,,,,podium finish,,,jasey-jay anderson,a friend,,0,0,0,0
126,Miranda Bellisle,Saskatchewan,Athlete,Judo,18,168cm,60kg,Judo Saskatchewan,Amy Cotton and Ralph Ibanez,,,,,,,Amy Cotton,,,0,0,0,0
127,Tehya Benjamin,Nova Scotia,Athlete,Gymnastics,17,157,54,halifax alta gymnastics,jared goad,athlete,,,my goals for the games is to make all of my routines and to make finals and event finals. I want to do my personal best and complete the goals on each event that I have set for myself.,,,"my personal role model is Keiji, coach at my gymnastics club that has been very influential in my life and who I look up to everyday in training.",I have done gymnastics for a very young age. ever since i was a small engergetic kid and my parents decided that my energy would be best well spent running and flipping around a gym all day.,,0,0,0,0
128,Nicolas Bennett,Northwest Territories,Athlete,Cross Country Skiing,18,185 cm,70 kg,Alberta World Cup Academy,Chris Jefferies,,,,Improve my placing from my first CWG in 2015.,"second place finishes at this years' Westerns, Easterns, and Arctic Winter Games.","NWT Junior Male Athlete of the Year, 2016.","Michael Gilday (speed skater), Brendan Green (biathlon).",I was brought up cross country skiing ever since I could walk.,,0,0,0,0
129,Seth Bennett,Yukon,Athlete,Table Tennis,15,,,,Kevin Murphy,,,,,,,,,,0,0,0,0
130,Natalie Marie Benoit,British Columbia,Athlete,Biathlon,17,179,69,,Jessica Blenkarn,,,,To shoot at least one set clean per race.,BC Biathlon Cup Female aggregate Senior Girls,"Grade 11 Outstanding student award including Academic Accomplishment, Leadership and Athletics.
Grade 11 Overall best female athlete award
Grade 12 Loran provincial winner and semi-finalist","Anais Bescond, National French Biathlete","My family introduced me to the sport through my local Nordic Ski Club in West Kelowna, BC.",,0,0,0,0
131,Kyla Jordon Bent,Nova Scotia,Athlete,Hockey,16,163,68,Rothesay Netherwood School,Kayla Blackmore,Defence,@kyla_bent,@kyla_bent,My goals for the games is to succeed as a team. We want to have a good team first mentality and the obvious end goal is to bring home a gold medal for Nova Scotia.,Championships won at atlantic challenge cup.,"Captain Hockey Nova Scotia U16 - 2017,
Team Atlantic U-18 2017","Jill Saulnier has always been someone I have looked up to.
She played boys hockey through the same association I played
for growing up. With her being from my same hometown,
she has always been someone that I have been able to look up to
and admire. It has been rare for females from a small province
like Nova Scotia to succeed through the Hockey Canada program
but she has help break that barrier for Atlantic Canadians.","My older brother always played hockey when I was growing up.
My dad signed me up for skating at 3 and I started playing hockey
when I was 5. My dad was always very involved and he got me into it.
I always looked up to my bother who accomplished much in hockey,
from awards and provincial championships, to 5 years in the QMJHL.
I wanted to be like him so that was a big influence on why I started
playing.",,0,0,0,0
132,Nolan Bentham,British Columbia,Athlete,Hockey,15,190cm,84kg,Yale Midget Prep,Mark Holick,Defence,BenthamNolan7,BenthamNolan7,compete at my highest level,,,Scott Walford (Victoria Royals) Montreal Canadians draft pick,I grew up in a hockey family and I love to play the game,,0,0,0,0
133,Alexisse Bérard,Manitoba,Athlete,Biathlon,17,168,70,,Gregg Campbell,,,,I would like to maintain a shooting average above 75%.,"17th, Individual at Canadian Championships in Charlo.",,"I have always looked up to Chandra Crawford, not only for her achievements in the cross-country ski world, but for all her work with Fast and Female. I find it super inspiring following her work inspiring young girls to stay in sport.","I grew up in an active family, we would spend every Saturday morning at Birch Mountain Sports having fun on the hills on skis. When I joined a cross-country ski team in the city, many of my teammates did biathlon, I thought it looked really fun so I tried it out. I had a lot of fun and since then have joined the team and really enjoyed it since.",,0,0,0,0
134,Cezara Bere,Alberta,Athlete,Speed Skating,14,160,46.2,Calgary Olympic Oval Stage 2,Cristina Lazarescu and Joffrey Larocque,Short Track,N/A,N/A,Do my best while representing Alberta,"1500m 2:30.892
1000m 1:38.966
500m 0:46.517","Grade 8 Academic Honours by Vimy Ridge Academy
Top U15 Female by Juventus Cycling Club
LAMP Cup by Juventus Cycling Club",Elise Christie,"I started skating when I was 3 years old. My parents decided to put me into figure skating, dance, and gymnastics. It was entertaining at first, but none of those sports appealed to me. I told my mom that I wanted to go faster, that figure skating was too slow. Hockey didn’t appeal to my parents due to their cultural heritage, so a synchronized skating coach gave my mom Kathy Gregg’s phone number and recommended that she contacts her. I joined the Edmonton Speed Skating Association at the age of 6 and I’ve been speed skating since then.",,0,1,0,1
135,Cole Beres,Alberta,Athlete,Archery,19,180,85,,Al southwood,Male compoud,,,This is my second time at the games and I have learnt a lot from the time I was at the first games. This time I hope to take everything that I have learned and use it to represent my province well.,for indoor 591/600 points,Alberta Junior athlete of the year 2017,Stephan Hansen,,,0,0,0,0
136,Liam Berger,Manitoba,Athlete,Snowboard,14,,,backsidenines,liam berger,athlete,,,to land a good run,finishing first,,,my mom encouraged me...,,0,0,0,0
137,Alyssa Bergeron,Quebec,Athlete,Alpine Skiing,15,155,"56,69",belle-neige S1,Patrick Demers,ski alpin,,,,,,,,,0,0,0,0
138,Mikela Bergevin,Quebec,Athlete,Freestyle Skiing,20,166,53,,Edward Lortie,,,,AVOIR DU PLAISIR ET BIEN PERFORMER,,7 PLAQUES DE MERITE PROVINCIALES,MARC ANTOINE BETY,COUSIN,,0,0,0,0
139,Hayley Bergman,Manitoba,Athlete,Curling,18,157,46.7,Team Bergman,Chris Hamblin,Skip,@hails_or_hazel,@hails_or_hazel,To play to the best of my ability and make new friends along the way.,,I was my high school girls curling MVP for 3 consecutive years.,"My Dad is my personal role model, as he has taught me a lot about life and set a great example for me both on and off the ice.","I became involved with curling after my Dad heard a radio ad for the local junior curling program,",,0,1,0,1
140,Payton Bergman,Manitoba,Athlete,Curling,16,165,52,W.C. Miller Collegiate Aces,Chris Hamblin,Second,,,"To play well, and meet new people.",,,I admire Val Sweeting because we are both left handed curlers and she has done well in competitive curling.,My siblings were both curlers and I wanted to be just like them.,,0,1,0,1
141,Bianca Berko-Malvasio,Yukon,Athlete,Gymnastics,15,162,62,Polarettes and Polar Tublers Gymnastics Club,Kimberly Jones,Head Coach,,,Have fun and complete all routines,For me it is not about the medals but pushing through and sticking with it after 5 fractures and too many disappointments. That's the true winner.,Athlete of the Year 2018,My Mom,My parents put me into it when I was 4. Later I was invited to pre-comp and then fell in love with it. Gymnastics became my life.,,0,0,0,0
142,Chad Berling,Alberta,Athlete,Biathlon,20,179,69,Calgary Biathlon Racers,Airat Aitniakov,,,,My goals for the games are to race hard and go for the win everyday but also enjoy the experince.,"My best results are first in North American Cups and at Western Canadian Championships along with a third in the sprint at Nationals, and a 52nd while racing in Europe for Team Canada.",Have won the provincial cup three years in a row in the Youth and Junior men categories.,My coach is my role model because he shows what real hard work is and the importance of never giving up.,I was introduced to Biathlon at a summer camp when I was 12 and have been hooked ever since.,,0,1,0,1
143,Michael Bernard,Prince Edward Island,Athlete,Badminton,18,5'11,152lbs,,,,,,,,,,,,0,0,0,0
144,Sara-Jade Berthiaume,Quebec,Athlete,Gymnastics,19,165,,Trampoline Intercité,France Bouffard,Trampoline,,,,"score total de préliminaires : 94,0",,,"Je visitais une école avec ma famille quand j'avais 6 ans et lorsque nous sommes arrivés devant la palestre de trampoline, j'ai tout de suite su que je voulais pratiquer ce sport.",,1,0,1,2
145,Félix-Olivier Bertrand,Quebec,Athlete,Judo,15,165,50,Club de Judo St-Jean Bosco,Ann Larouche / Jean-Francois Bertrand,Judo,,,"Aux Jeux du Canada, je vise un podium, mais surtout, je veux profiter au maximum de cette expérience unique!",Je suis très fier d'avoir gagné le championnat canadien ouvert U18 alors que j'étais encore d'âge U16.,"1- Bourse d'excellence Slush Puppy
2- En nomination, deux années de suite par Judo Québec, pour l'athlète sport-études par excellence
3- Bourse d’excellence académique par la Commission scolaire du Portage de l’Outaouais","Antoine Valois-Fortier, pour son éthique au travail, sa détermination, son humilité et bien sûr, sa médaille Olympique :-)","Je fais du Judo depuis l’âge de 5 ans et j’ai débuté la compétition à 10 ans. Mes parents m'ont fait commencer le Judo pour m'aider à développer ma confiance. Aujourd'hui, le Judo me permet de me surpasser, de dépasser mes limites.",,2,0,0,2
146,Sandrine Bérubé,Quebec,Athlete,Wheelchair Basketball,20,165,82,,,,,,,,,,,,0,0,1,1
147,Josiah Besler,Saskatchewan,Athlete,Gymnastics,16,,,Taiso Gymnastics Club,Markos Baikas,,,,To preform my best and help contribute to the team.,First place at Western Canadian Championships.,,Jayd Lukenchuk because he has always been a positive influence in and outside of the gym.,Started recreational gymnastics when I was 4 years old.,,0,0,0,0
148,Jenny Bessey,Newfoundland and Labrador,Athlete,Hockey,18,160.02,54.43,Labrador West Lakers,Brian Barnett,Forward,,,,,,,,,0,0,0,0
149,Kassy Betinol,Alberta,Athlete,Hockey,17,160,61.5,Pursuit of Excellence Female Midget prep,Kris Hogg,Center/forward,@kbetinol9,@kbetinol9,to make new friends and soak in the experience while working hard at the game,,"Academic honour roll, top scorer,",My grandpa,Both of my brothers played hockey and ever since I was born I grew up in hockey arenas,,1,0,0,1
150,Marc-Antoine Bety,Quebec,Athlete,Freestyle Skiing,20,175,67,Club de ski acrobatique du mont ste-Anne,Edouard Lortie,,,,Podium,,,,,,0,0,0,0
151,Jonah Bevington,Northwest Territories,Athlete,Hockey,15,,,,,,,,,,,,,,0,0,0,0
152,Lucia Bicknell,British Columbia,Athlete,Squash,16,173,67,Evergreen Squash Club,Thomas Brinkman,,,,"Win Nationals 2019
play collegiate squash",winner nationals U15 and U13,,,,,1,1,0,2
153,Matt Bicknell,British Columbia,Athlete,Squash,18,185,70,Evergreen Squash Club,Thomas Brinkman,,,,"Top 4 nationals
Play collegiate squash",Cdn Junior Open 5th U17,,,,,0,1,0,1
154,Jennifer Nicole Bidgood,Newfoundland and Labrador,Athlete,Hockey,18,165,68,Eastern ice Breakers AAA,John Fagan,Forward,jenniferbidgood,jenniferbidgood,To work my hardest to help my team do our best in the tournament.,,,,Grew up watching my sister play and it was just natural to join.,,0,0,0,0
155,Zach Biggar,Prince Edward Island,Athlete,Hockey,16,180.34,79.8,KENSINGTON MONAGHAN FARMS WILD,KYLE DUNN,DEFENSE,,,PLAY AT THE TOP OF MY GAME AND BE A LEADER FOR MY TEAM AND REPRESENT MY PROVINCE,,"2017 TOP DEFENSEMAN PEI MAJOR BANTAM LEAGUE
2017 TOP DEFENSEMAN MAJOR BANTAM ATLANTICS TORBAY NFLD",ID HAVE TO SAY MY MOM. SHE WAS AN AMAZING ATHLETE WHEN SHE WAS YOUNG. SHE ALWAYS TRIES TO BRING THE BEST OUT IN ME.,"MY GRANDFATHER (PAPA DAVID) BOUGHT ME MY FIRST PAIR OF SKATES AND STICK AND MY DAD BUILT A RINK IN OUR BACKYARD
SADLY HE PASSED AWAY BEFORE HE COULD SEE ME PLAY.
MY GRANDFATHER (MILFORD) WHO WOULD SIT IN THE CHAIR IN THE KITCHEN AND PLAY MINI STICKS WITH ME FOR HOURS.HE WILL BE NINETY ON JANUARY 17TH.",,0,0,0,0
156,Jonathan Bilan,Alberta,Athlete,Wheelchair Basketball,20,177.5,86,Alberta Northern Lights,Darrell Nordell/ Ross Norton,,jon_bilan,jon_bilan,To play the best I have ever played and hopeully come out with a team gold medal.,canada games 2015 third place,"Most improved, Katie MacMillian award for spirit of the game.","Dion Waiters, NBA basketball player",Tried wheelchair basketball at a summer camp and fell in love.,,1,0,0,1
157,Morgan Bilassy,Alberta,Athlete,Curling,18,180.3,65,St. Albert Curling Club,Nicole Bellamy,Lead,,,,,,,,,0,0,0,0
158,Zack Bilawka,Manitoba,Athlete,Curling,18,5'7,135 pounds,St. Vital CC,Tom Clasper,Second,@zackbilawka35,@zackbilawka35,Win Canada,,"Highest mark in grade 10 American History
Highest mark in grade 11 Accounting Principles
2 time city champion at baseball
Manitoba Black Crappie Specialist (6 registered)",Matt Dunstone,my brother went to Canada Games for curling four years ago,,0,0,1,1
159,Rylan Bileski,Manitoba,Athlete,Wheelchair Basketball,15,163,63,,Jarrett Yaworski,,,,To win a few games and enjoy the event.,,winnipeg torchbearer,teammate Josh Brown,"I went to a Para sports camp in Minneapolis where multiple
sports were offered as an introduction.
I met many amazing athletes and chose
Wheelchair basketball as a favourite sport.",,0,0,0,0
160,Béatrice Bilodeau,Quebec,Athlete,Hockey,17,,,,,,,,,,,,,,0,1,0,1
161,Lyne Marie Bilodeau,Quebec,Athlete,Cross Country Skiing,17,165 cm,48,Club de ski de fond Orford,Patrick Laliberté,1ere Championnats canadiens para nordique 2018,,,Je veux faire un podium dans au moins une des distances aux Jeux du Canada,,,Alex Harvey est certainement mon modèle,J'ai voulu faire comme mon grand frère et j'ai pris des cours de ski avec lui.,,3,0,0,3
162,William Bilodeau,Quebec,Athlete,Speed Skating,19,173,71,CEPVRQ,William Lemelin Bilodeau,,,,Gagner une médaille en poursuite et au 1000m.,"1000m: 1:12,49
500m: 37,27
1500m: 1:51,82
5000m: 7:03,98",Je suis identifié sur la relève en longue piste depuis 2 ans.,"The Rock est mon modèle, pour toute sa détermination qui a eu pour devenir la vedette qu'il est aujourd'hui.",Parce que je voulais pas jouer au hockey et que je voulais pratiquer un sport individuel.,,0,1,0,1
163,Kaley Bilyk,Alberta,Athlete,Ringette,20,"5'8""",64,NRL Black Gold Rush,Paul Bechard,Centre,,,"Compete to the best of my ability, enjoy the experience, make life long friendships and bring home GOLD!!","Other than trying out for Team Canada in 2017, I must say that playing in the 2019 Canada Winter Games and representing Alberta in my sport is my personal best accomplishment and experience in Ringette.",,I would have to say that many of my Coaches and Assistant Coaches throughout my years playing Ringette have been great role models for me!,"When I was 7 years old a good family friend introduced me to Ringette. It was winter time at the lake and we had a huge ice rink, his daughter played at the time, so one weekend he brought me out a stick and a ring and the rest is history!",,0,0,0,0
164,Rachel Bindle,Saskatchewan,Athlete,Wheelchair Basketball,19,,,,,,,,,,,,,,0,0,0,0
165,Andrew Patrick Binns,Prince Edward Island,Athlete,Speed Skating,16,,,,,,,,,,,,,,0,0,0,0
166,Parsa Bisheh,British Columbia,Athlete,Boxing,16,177,56,Griffins Boxing Club,Dave Brett,,,,Gold medal,,,Muhammad Ali,Trying to lose weight as a youngster,,0,0,0,0
167,Emma Bishop,New Brunswick,Athlete,Hockey,17,165,63,Newbridge Academy,Kirk Tomlinson,Forward,,,My goals are too play the best that I can to help my team win a medal,Being able to represent my province at the ACC for three years in a row,"MVP of the Year- Newbridge
Student athlete of the year- Newbridge",My mother,"Hockey was always very big on my fathers side, so he and my grandfather taught me how to skate and play at a young age.",,0,0,0,0
168,Tyler David Benjamin Bishop,New Brunswick,Athlete,Figure Skating,14,170,50.35,Skate NB,Nicole Marr Woods,Head coach,,,To achieve a personal best score and better than Challenge results.,First at Sectionals,Lots and lots of competition awards over the years.,Nathan Chen,Mom enrolled in Skating when I was 3 and I liked the sport.,,0,0,0,0
169,Ryleigh Bissenden,British Columbia,Athlete,Wheelchair Basketball,21,163,52,Victoria Wheelchair Sports,Simon Cass,,,,"Play my best, have fun, meet new people & bring home a medal!",4th at Women's Nationals & 5th at Junior Nationals,"True Sport Award for BC - 2016
All Star Award at Junior Regionals - 2017",Pat Anderson,I have been playing Wheelchair Basketball for over 5 years and have had lots of fun travelling & making new friends. One experience I won't forget is being chosen to attend a clinic in Vancouver with Pat Anderson - one of the best wheelchair basketball players in the world - he has won many awards & played in numerous Paralympic Games. I was one of fifteen chosen & 1 of 2 girls!! It was so exciting.,,0,0,0,0
170,Larissa Black,British Columbia,Athlete,Biathlon,20,159,45,Sea to Sky Nordics / Whistler Nordic Development Centre,Etienne Letondeur,,,,My goals for the games are to give it my all on race day and meet new people in different sports!,My best personal result is a top 40 at the international level.,,,,,1,0,0,1
171,Sara Black,Ontario,Athlete,Wheelchair Basketball,23,5ft5in,,Variety Village,,,,,To come home with a medal and some great memories,In the summer of 2017 I was part of the Senior Women's National team that won gold in the Americas Cup.,,,"I was introduced to the sport by a family friend who was involved with planning the Toronto 2015 Pan Am Games/Para Pan Am Games. She got me in touch with a couple people who got me involved with my local team, Variety Village.",,0,1,0,1
172,Trystan Black,Saskatchewan,Athlete,Badminton,19,,,,,,,,,,,,,,0,0,0,0
173,William Blackburn,Quebec,Athlete,Hockey,15,,,,,,,,,,,,,,1,0,0,1
174,Arno Blacquière,Quebec,Athlete,Judo,17,170,59,Judokas Jonquière,Roger Tremblay,,,,J'ai comme objectif de terminer sur le podium.,Champion canadien à 6 reprises,"Bourse fondation du sport execlence du Québec
Bourse de la fondation Régional saguenay lac St-Jean
Bourse athlète par excellence Podium Pierre Lavoie.",Mon modèle est Roger Tremblay. C'est mon entraineur et il pratique le Judo depuis plusieurs années. Il offre un implication remarquable et s'investit complètement auprès des jeunes.,J'ai débuté le judo pour dépenser mon trop plein d'énergie.,,1,1,0,2
175,Caylie Blake,Newfoundland and Labrador,Athlete,Figure Skating,16,,,,,,,,,,,,,,0,0,0,0
176,Joshua Roy Blake,Newfoundland and Labrador,Athlete,Judo,16,182.8,64.3,Goose Bay Judo Club,Colin Jacobs,Head Coach,,,"My goal for the games is to go out and give it my all, and do the best I can while representing my province",Silver in Atlantics,The Neil Simon award (most dedicated to the class),Ron Angus,My Father who has been involved in judo for 20 years and now volunteers to teach our clubs classes,,0,0,0,0
177,Zachary Blakely,Alberta,Athlete,Gymnastics,19,173,73,Thunder Country Trampoline/Phoenix Gymnastics,"Ken Soehn, Trish Quinney",Trampolinist,N/A,N/A,"To enjoy the entirety of the competition, experience new things, watch other great athletes compete, and perform to the very best of my abilities. And just put out a good show when competing.",Scoring 102.6 at 2018's National Championships in the senior category.,"I have won provincials in several categories as I competed through the years. I won the Indo Pacific Championships in 2016 competing against several different countries. And I had the opportunity to represent my country in several different competitions all over the world, from New Zealand to Bulgaria.","I don't think I have one specific role model in my life. I have had the opportunity to have a ton of great people in my life who've helped me become a better person. From my parents, my close friends, the people I train with, to my coaches. Every one of them has helped me gain a better grasp of how to be the best version of myself.","It started out as a way for my mom to get me out of the house as I was always a handful to deal with (I still am sometimes). Exercise and sport have always been an outlet for me as I grew up, it kept me fit and healthy, it gave me a social circle where I built friendships upon, and it gave me a sense of accomplishment. It still also helps me be more manageable to my mom, so the original purpose is still there.",,0,2,0,2
178,Shea-Lynne Blanchard,New Brunswick,Athlete,Gymnastics,14,152.4,44,,,,,,"To help Team NB overall performance, to place on two events","2017-2018 season top 3 in Eastern aand Atlantic Canada for
uneven bars","Honours K-present
Sportsmanship award 2 years","""A winner is a dreamer who never gives up.""
Nelson Mandela",Mom took me to mommy and me classes.,,0,0,0,0
179,Kyle Blandford,Ontario,Athlete,Alpine Skiing,16,183,79,Georgian Peaks,Andy Holba,,,,"to enjoy the competition ,meet new people and win !","1st SG, 1st GS, 2nd Slalom","Alpine Ontario Jr Athlete of the Year 2018
Tornoto Ski Club Champion U10, U12, U14, U16","Marcel Hirscher, Hendrik Kristoffersen, Aksel Svindal",Our family joined the Toronto Ski Club on 2009...I started racing and loved it from day 1,,0,0,0,0
180,Amelie Blanton,New Brunswick,Athlete,Gymnastics,13,152,39,FUNDY GYMNASTICS CLUB,NICHOLAS & NANCY BLANTON,,,,To do my best and make the Women's All Around Individual Final,"Qualifying for the 2018 Canadian Championships, making the
All-Around Final and finishing 7th Place on vault for Level 9","2018 New Brunswick Gymnastics Association Female Athlete of the
Year",My Team Mate Myranda Talbot,"My mum and dad are gymnastics coaches, and I have spent most
of my life in the gym!",,0,0,0,0
181,Félix Blaquière,Quebec,Athlete,Gymnastics,17,,,,,,,,,,,,,,0,2,2,4
182,Sarah Blomquist,Saskatchewan,Athlete,Ringette,16,168,64,Saskatoon Blazers AA Ringette,Erin Cumpstone,Forward and Defence,none.,none.,My goal for the games is to take in this great experience with an awesome group of girls and coaches. I am looking forward to playing at the highest level of ringette that I have played so far. I want to bring a medal home to Saskatchewan.,,Provincial Champions in 2016 and 2017 in U16 AA division.,Erin Cumpstone. Erin has been one of my coaches for many years. She has also represented Saskatchewan at the Canada Winter Games.,At a young age I spent a lot of time at the rink watching my older sister play ringette. I wanted to play ringette but I was too young. My mom told me that if I learned how to skate that I could play. I worked really hard and learned how to skate when I was 4 years old. Thats when I started to play ringette.,,0,0,0,0
183,Laurence Blondeau,Quebec,Athlete,Figure Skating,18,1.65,105,CPA ESG DRUMMOND- ST -CYRILLE,Marie-Andrée Cloutier,Patinage Artistique,,,Me dépasser.,3 e au canada,"lauréat de ma région (centre du Québec) chaque année depuis 2013
nominé athlète international et national école Marie Rivier 2015-2016
finaliste athlète féminine émérite 2016","Joanie Rochette
Valérie Bergeron
Heidi Pelchat Marianne Coté",Ma grande sœur patinait et je voulais faire comme elle.,,1,0,0,1
184,Josh Bloom,Ontario,Athlete,Hockey,15,184.2,74.8,,Dan Del Monte,Left Wing,@Jbloom97,@Jbloom97,My goals are to play a key role in the games and help lead Ontario to another gold medal and make the Province proud.,"OMHA champion 2014, GTHL finalist 2015",Toronto Young Nationals MVP (2018),"My Dad for sure, he's always supporting me and has taught me the drive and love of the game, definitely wouldn't be here without him.","When I picked up my first stick at 2 my parents could tell I loved it, then they put me in skating classes and then eventually I was playing games by 4 and I have just loved the game ever since.",,0,1,0,1
185,Donny Boake,Northwest Territories,Athlete,Cross Country Skiing,18,179,70,,Mike Argue,,,,хорошо кататься на лыжах и представлять родину,,,Greg Kilroy and Gareth Williams,The Money,,0,0,0,0
186,Kennedy Bobyck,Saskatchewan,Athlete,Hockey,18,155,58,Edge School,Carla Macleod,Left wing,,,I want to bring home a medal for Saskatchewan,,"2014-2015 Rookie of the year for the Saskatchewan Midget AAA Female league
2015-2016 Scoring Champion for the Saskatchewan Midget AAA Female league
2015-2016 First All Star Team for the Saskatchewan Midget AAA Female league
2016-2017 First All Star team for the Saskatchewan Midget AAA Female league
2018 Invited to the Team Canada U18 top 42 camp","My Dad is my role model because he is the most caring person I have ever met. He has made me countless outdoor rinks in -30 weather, drove me all over the continent for hockey, taught me how to skate, and has always been my number one fan on and off the ice. He is the best Dad and husband I have ever seen and I strive to be like him everyday.",When I was four days old I went to my first hockey game to watch my Dad and for the next four years I watched him play professional hockey in Europe. I have always been involved in hockey and I plan to stay involved for the rest of my life,,0,0,0,0
187,George Bobyn,Saskatchewan,Athlete,Freestyle Skiing,17,183,75,,,,,,,,,,,,0,0,0,0
188,Kyle Bochek,Saskatchewan,Athlete,Hockey,15,174,75,Notre Dame AAA Hounds,Devan Praught,Forward,@kyle_bochek,@kyle_bochek,"My goals are to have a positive experience at the games and
to help Team Saskatchewan medal.",Winning the 2018 Telus Cup National Midget AAA Championship,"Most Sportsmanlike Award
(2017-18 Notre Dame Hounds Bantam Prep AAA)",My Dad,"My father introduced me to hockey at a very young age when
he built a hockey rink on our deck when I was two years old!",,0,0,0,0
189,Lindsay Bochna,Ontario,Athlete,Hockey,16,157,68,Etobicoke Jr Dolphins(PWHL),Joe Butkevitch,Left wing,,,to learn more about myself as a person and player and to help Team Ontario win the games,"Team Canada u18 summer series participant, invited to OWHA u18 summer and thanksgiving camp","Team Canada u18 summer series participant, invited to OWHA u18 summer and thanksgiving camp",I don't have a role model because there are too many to chose from. Instead I try to learn something from everyone,I got involved in hockey because I wanted to be like my brother,,0,0,0,0
190,Jaden Bogden,Alberta,Athlete,Hockey,16,177.8,68,st.albert slash,Dan Auchenberg,forward,bogden_jaden,bogden_jaden,"- to fall even more in love with the sport, and appreciate it for everything it is
-to have fun and win!
- to soak in the hole experience and take it for what it is, a once in a life time opportunity
- to play my role as best a I can",winning the Esso cup,"honours gr. 7,8,9","My dad, his work ethic and persistence to always desire more in life, drives my inspiration factor everyday, and the fact that he does it all with a smile and a positive outlook in every situation makes it that much more desiring to be like him.","My parents both grew up being surrounded by sports, so its fitting that our family would also grow up around a sports orientated home. My dad started my little brother and I, in skating when we were both around the age of 3 and once we got that semi mastered we began the game we love and appreciate to this day, all I recall from that time is that the game and myself clicked and I could not imagine a day without it in my life now.",,1,0,0,1
